hotel_name,address,packages,link
BON Hotel Abuja,"3 Negro Crescent, Maitama, Abuja, Nigeria","['Breakfast', 'Restaurant', 'Outdoor swimming pool', 'Spa', 'Free Wifi', 'Air conditioning', 'Room service']",https://www.booking.com/hotel/ng/bon-abuja-abuja.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732753&from=searchresults
SS3 Jabi Hotel,"770 Samuel A Ogedengbe Crescent, 900108 Abuja, Nigeria","['Parking', 'Free Wifi', 'Air conditioning', 'Private Bathroom', 'Flat-screen TV', 'Room service', 'Non-smoking rooms']",https://www.booking.com/hotel/ng/ss3-jabi.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=85&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732700&from=searchresults
House 24,"24 Osun Crescent, 904101 Abuja, Nigeria","['Restaurant', 'Parking', 'Free Wifi', 'Air conditioning', 'Private Bathroom', 'Balcony', 'Flat-screen TV']",https://www.booking.com/hotel/ng/house-24.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=84&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732700&from=searchresults
Brickland Residence,"32 Kinshasha Street Zone 6, Wuse, 904101 Abuja, Nigeria","['Restaurant', 'Parking', 'Free Wifi', 'Air conditioning', 'Private Bathroom', 'Family rooms', 'Flat-screen TV']",https://www.booking.com/hotel/ng/brickland-residence-abuja.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732625&from=searchresults
D & D Apartments,"20 Thomas Sankara Street, 900103 Abuja, Nigeria","['Parking', 'Free Wifi', 'Air conditioning', 'Private Bathroom', 'Family rooms', 'Flat-screen TV', 'Room service']",https://www.booking.com/hotel/ng/d-amp-d-apartments.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732726&from=searchresults
YANNA APARTMENT BY KHALIQUES,"32 P.O.W. Mafemi Crescent, Utako Abuja Nigeria, 900108 Abuja, Nigeria","['Apartments', 'Breakfast', 'Restaurant', 'Outdoor swimming pool', 'Spa', 'Free Wifi', 'Air conditioning']",https://www.booking.com/hotel/ng/yanna-apartment-by-khaliques.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=117&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732726&from_sustainable_property_sr=1&from=searchresults
D & D Apartments,"20 Thomas Sankara Street, 900103 Abuja, Nigeria","['Parking', 'Free Wifi', 'Air conditioning', 'Private Bathroom', 'Family rooms', 'Flat-screen TV', 'Room service']",https://www.booking.com/hotel/ng/d-amp-d-apartments.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732700&from=searchresults
Wali's Suites,"21 Monrovia Street, 904101 Abuja, Nigeria","['Restaurant', 'Parking', 'Free Wifi', 'Air conditioning', 'Private Bathroom', 'Family rooms', 'Flat-screen TV']",https://www.booking.com/hotel/ng/wali-39-s-suites.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732726&from_sustainable_property_sr=1&from=searchresults
The Envoy Hotel Abuja,"305 Diplomatic Drive Central Business District, 900211 Abuja, Nigeria","['Restaurant', 'Parking', 'Free Wifi', 'Air conditioning', 'Private Bathroom', 'Flat-screen TV', 'Bathtub']",https://www.booking.com/hotel/ng/the-envoy-abuja.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732726&from=searchresults
The Envoy Hotel Abuja,"305 Diplomatic Drive Central Business District, 900211 Abuja, Nigeria","['Restaurant', 'Parking', 'Free Wifi', 'Air conditioning', 'Private Bathroom', 'Flat-screen TV', 'Bathtub']",https://www.booking.com/hotel/ng/the-envoy-abuja.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732700&from=searchresults
